,Model_name,Ratings,Customers_rated,RAM,Internal_storage,Display_size,Camera,Battery_mAh,Price,Discount,Final_Price
171,"SAMSUNG Galaxy J8 (Blue, 64 GB)",4.4,19438,4.0,64,15.24,16MP + 5MP | 16MP Front Camera,3500,0,0,18990
172,"SAMSUNG M01 core (Blue, 16 GB)",4.0,6916,1.0,16,13.46,8MP Rear Camera | 5MP Front Camera,3000,0,0,4999
173,"SAMSUNG Galaxy A30s (Prism Crush Black, 128 GB)",4.3,4275,4.0,128,16.26,25MP + 5MP + 8MP | 16MP Front Camera,4000,0,0,18199
174,"SAMSUNG Galaxy J2 2018 (Gold, 16 GB)",4.3,7620,2.0,16,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,7500
175,"SAMSUNG Galaxy J5 Prime (Gold, 32 GB)",4.3,3360,3.0,32,12.7,13MP Rear Camera | 5MP Front Camera,2400,0,0,13500
176,"SAMSUNG Galaxy A10s (Black, 32 GB)",4.3,2287,3.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,0,0,10800
177,"SAMSUNG Galaxy A10s (Green, 32 GB)",4.4,2600,2.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,0,0,8999
178,"SAMSUNG Galaxy J8 (Black, 64 GB)",4.4,19438,4.0,64,15.24,16MP + 5MP | 16MP Front Camera,3500,0,0,19500
179,"SAMSUNG Galaxy A50 (Black, 64 GB)",4.4,11327,6.0,64,16.26,25MP + 5MP + 8MP | 25MP Front Camera,4000,0,0,24000
180,"SAMSUNG Galaxy A10 (Blue, 32 GB)",4.4,13098,2.0,32,15.75,13MP Rear Camera | 5MP Front Camera,3400,9157,12,7990
181,"SAMSUNG Galaxy A6+ (Black, 64 GB)",4.4,4215,4.0,64,15.24,16MP + 5MP | 24MP Front Camera,3500,0,0,21990
182,"SAMSUNG Galaxy J6 Plus (Blue, 64 GB)",4.3,4948,4.0,64,15.24,13MP + 5MP | 8MP Front Camera,3300,0,0,13600
183,"SAMSUNG Galaxy A10 (Black, 32 GB)",4.4,13098,2.0,32,15.75,13MP Rear Camera | 5MP Front Camera,3400,9304,14,7990
